"units","scenario","year","value","variable","version","source"
"PPM","GCAM_SSP1",1976,334.97,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1977,336.335,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1978,337.769,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1979,339.249,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1980,340.738,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1981,342.148,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1982,343.482,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1983,344.741,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1984,345.996,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1985,347.319,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1986,348.696,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1987,350.124,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1988,351.598,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1989,353.139,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1990,354.699,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1991,356.182,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1992,357.664,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1993,358.931,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1994,360.133,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1995,361.45,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1996,362.886,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1997,364.404,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1998,366.294,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",1999,367.917,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2000,369.501,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2001,371.171,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2002,372.769,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2003,374.478,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2004,376.248,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2005,378.246,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2006,380.223,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2007,381.975,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2008,383.872,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2009,385.906,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2010,388.068,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2011,390.356,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2012,392.692,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2013,395.075,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2014,397.506,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2015,399.982,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2016,402.499,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2017,404.814,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2018,407.165,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2019,409.528,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2020,411.906,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2021,414.301,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2022,416.714,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2023,419.384,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2024,422.146,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2025,424.999,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2026,427.941,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2027,430.756,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2028,433.591,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2029,436.445,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2030,439.316,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2031,442.204,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2032,445.03,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2033,447.841,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2034,450.639,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2035,453.423,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2036,456.195,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2037,458.98,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2038,461.755,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2039,464.519,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2040,467.274,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2041,470.019,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2042,472.703,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2043,475.373,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2044,478.029,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2045,480.671,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2046,483.292,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2047,485.854,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2048,488.391,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2049,490.907,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2050,493.402,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2051,495.879,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2052,498.397,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2053,500.902,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2054,503.396,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2055,505.879,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2056,508.352,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2057,510.764,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2058,513.167,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2059,515.562,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2060,517.95,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2061,520.331,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2062,522.613,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2063,524.885,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2064,527.146,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2065,529.398,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2066,531.642,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2067,533.827,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2068,535.999,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2069,538.16,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2070,540.31,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2071,542.451,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2072,544.545,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2073,546.629,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2074,548.701,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2075,550.761,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2076,552.812,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2077,554.829,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2078,556.828,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2079,558.807,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2080,560.768,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2081,562.711,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2082,564.607,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2083,566.479,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2084,568.325,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2085,570.147,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2086,571.946,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2087,573.669,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2088,575.37,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2089,577.041,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2090,578.687,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2091,580.307,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2092,581.87,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2093,583.4,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2094,584.899,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2095,586.366,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2096,587.803,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2097,589.197,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2098,590.557,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2099,591.883,"CO2_concentration","old","GCAM"
"PPM","GCAM_SSP1",2100,593.175,"CO2_concentration","old","GCAM"
"W/m^2","GCAM_SSP1",1976,-0.976163,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1977,-0.983358,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1978,-0.995526,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1979,-1.00941,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1980,-1.00574,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1981,-0.980879,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1982,-1.01212,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1983,-0.95573,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1984,-0.975326,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1985,-0.983952,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1986,-0.98595,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1987,-1.01525,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1988,-1.02214,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1989,-1.01192,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1990,-1.02357,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1991,-1.10085,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1992,-0.986158,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1993,-0.994766,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1994,-1.04225,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1995,-0.991361,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1996,-0.968846,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1997,-1.08535,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1998,-1.0693,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1999,-0.948405,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2000,-0.918149,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2001,-0.922392,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2002,-0.992604,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2003,-1.01991,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2004,-1.0263,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2005,-1.0263,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2006,-0.99266,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2007,-0.958512,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2008,-0.923845,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2009,-0.888643,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2010,-0.852889,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2011,-0.835838,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2012,-0.818659,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2013,-0.80135,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2014,-0.783908,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2015,-0.766331,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2016,-0.747463,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2017,-0.728437,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2018,-0.70925,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2019,-0.689901,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2020,-0.670387,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2021,-0.650703,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2022,-0.637417,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2023,-0.624052,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2024,-0.610609,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2025,-0.597085,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2026,-0.57994,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2027,-0.562664,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2028,-0.545257,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2029,-0.527715,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2030,-0.510037,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2031,-0.495975,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2032,-0.481825,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2033,-0.467587,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2034,-0.45326,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2035,-0.438842,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2036,-0.427445,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2037,-0.41599,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2038,-0.404478,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2039,-0.392907,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2040,-0.381277,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2041,-0.370408,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2042,-0.359486,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2043,-0.348512,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2044,-0.337485,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2045,-0.326405,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2046,-0.315819,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2047,-0.305184,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2048,-0.2945,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2049,-0.283765,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2050,-0.272979,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2051,-0.268466,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2052,-0.263943,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2053,-0.259412,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2054,-0.254872,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2055,-0.250323,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2056,-0.245557,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2057,-0.240781,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2058,-0.235995,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2059,-0.231199,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2060,-0.226393,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2061,-0.221441,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2062,-0.216478,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2063,-0.211505,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2064,-0.206521,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2065,-0.201526,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2066,-0.196818,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2067,-0.192101,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2068,-0.187374,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2069,-0.182637,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2070,-0.17789,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2071,-0.173377,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2072,-0.168855,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2073,-0.164325,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2074,-0.159785,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2075,-0.155236,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2076,-0.150952,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2077,-0.14666,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2078,-0.14236,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2079,-0.138052,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2080,-0.133736,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2081,-0.129702,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2082,-0.125661,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2083,-0.121613,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2084,-0.117558,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2085,-0.113495,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2086,-0.109617,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2087,-0.105733,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2088,-0.101842,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2089,-0.097944,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2090,-0.0940396,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2091,-0.0904635,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2092,-0.0868819,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2093,-0.0832945,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2094,-0.0797016,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2095,-0.0761029,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2096,-0.0729064,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2097,-0.0697054,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2098,-0.0665,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2099,-0.06329,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",2100,-0.0600755,"RF_aci","old","GCAM"
"W/m^2","GCAM_SSP1",1976,-0.0573955,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1977,-0.0572771,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1978,-0.0613297,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1979,-0.0625645,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1980,-0.0626931,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1981,-0.0603913,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1982,-0.0821686,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1983,-0.0577402,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1984,-0.0632937,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1985,-0.0665367,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1986,-0.0670472,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1987,-0.0756312,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1988,-0.0752032,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1989,-0.0697337,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1990,-0.0763584,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1991,-0.121398,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1992,-0.0717684,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1993,-0.0811614,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1994,-0.113379,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1995,-0.0914154,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1996,-0.0850005,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1997,-0.146683,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1998,-0.143293,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",1999,-0.0961168,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2000,-0.0803091,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2001,-0.0796429,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2002,-0.117639,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2003,-0.121188,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2004,-0.10817,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2005,-0.10817,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2006,-0.0983648,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2007,-0.0885601,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2008,-0.0787553,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2009,-0.0689505,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2010,-0.0591457,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2011,-0.0589401,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2012,-0.0587344,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2013,-0.0585288,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2014,-0.0583232,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2015,-0.0581175,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2016,-0.0575114,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2017,-0.0569053,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2018,-0.0562991,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2019,-0.055693,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2020,-0.0550869,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2021,-0.0544807,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2022,-0.0547001,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2023,-0.0549194,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2024,-0.0551388,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2025,-0.0553581,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2026,-0.0534289,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2027,-0.0514997,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2028,-0.0495704,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2029,-0.0476412,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2030,-0.0457119,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2031,-0.0439836,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2032,-0.0422552,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2033,-0.0405268,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2034,-0.0387984,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2035,-0.0370701,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2036,-0.0361028,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2037,-0.0351355,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2038,-0.0341682,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2039,-0.033201,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2040,-0.0322337,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2041,-0.0310557,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2042,-0.0298776,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2043,-0.0286995,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2044,-0.0275215,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2045,-0.0263434,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2046,-0.0250625,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2047,-0.0237816,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2048,-0.0225008,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2049,-0.0212199,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2050,-0.019939,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2051,-0.0193195,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2052,-0.0187,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2053,-0.0180805,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2054,-0.017461,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2055,-0.0168415,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2056,-0.0160312,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2057,-0.0152208,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2058,-0.0144105,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2059,-0.0136002,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2060,-0.0127899,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2061,-0.0119036,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2062,-0.0110173,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2063,-0.010131,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2064,-0.00924475,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2065,-0.00835848,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2066,-0.00756004,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2067,-0.00676161,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2068,-0.00596318,"RF_OC","old","GCAM"
"W/m^2","GCAM_SSP1",2069,-0.00516474,"RF_OC","old","GCAM"
